E952	Dock
E953	MultimediaDMS
E954	MultimediaDVR
E955	MultimediaPMP
E956	PrintfaxPrinterFile
E957	Sensor
E958	StorageOptical
E95A	Communications
E95B	Headset
E95D	Projector
E95E	Health
E960	Webcam2
E961	Input
E962	Mouse
E963	Smartcard
E964	SmartcardVirtual
E965	MediaStorageTower
E966	ReturnKeySm
E967	GameConsole
E968	Network
E969	StorageNetworkWireless
E96A	StorageTape
E96D	ChevronUpSmall
E96E	ChevronDownSmall
E96F	ChevronLeftSmall
E970	ChevronRightSmall
E971	ChevronUpMed
E972	ChevronDownMed
E973	ChevronLeftMed
E974	ChevronRightMed
E975	Devices2
E976	ExpandTile
E977	PC1
E978	PresenceChicklet
E979	PresenceChickletVideo
E97A	Reply
E97B	SetTile
E97C	Type
E97D	Korean
E97E	HalfAlpha
E97F	FullAlpha
E980	Key12On
E981	ChineseChangjie
E982	QWERTYOn
E983	QWERTYOff
E984	ChineseQuick
E985	Japanese
E986	FullHiragana
E987	FullKatakana
E988	HalfKatakana
E989	ChineseBoPoMoFo
E98A	ChinesePinyin
E98F	ConstructionCone
E990	XboxOneConsole
E992	Volume0
E993	Volume1
E994	Volume2
E995	Volume3
E996	BatteryUnknown
E998	WifiAttentionOverlay
E99A	Robot
E9A1	TapAndSend
E9A8	PasswordKeyShow
E9A9	PasswordKeyHide
E9AA	BidiLtr
E9AB	BidiRtl
E9AC	ForwardSm
E9AD	CommaKey
E9AE	DashKey
E9AF	DullSoundKey
E9B0	HalfDullSound
E9B1	RightDoubleQuote
E9B2	LeftDoubleQuote
E9B3	PuncKeyRightBottom
E9B4	PuncKey1
E9B5	PuncKey2
E9B6	PuncKey3
E9B7	PuncKey4
E9B8	PuncKey5
E9B9	PuncKey6
E9BA	PuncKey9
E9BB	PuncKey7
E9BC	PuncKey8
E9CA	Frigid
E9D9	Diagnostic
E9F3	Process
EA14	DisconnectDisplay
EA1F	Info2
EA21	ActionCenterAsterisk
EA24	Beta
EA35	SaveCopy
EA37	List
EA38	Asterisk
EA39	ErrorBadge
EA3A	CircleRing
EA3B	CircleFill
EA40	AllAppsMirrored
EA41	BookmarksMirrored
EA42	BulletedListMirrored
EA43	CallForwardInternationalMirrored
EA44	CallForwardRoamingMirrored
EA47	ChromeBackMirrored
EA48	ClearSelectionMirrored
EA49	ClosePaneMirrored
EA4A	ContactInfoMirrored
EA4B	DockRightMirrored
EA4C	DockLeftMirrored
EA4E	ExpandTileMirrored
EA4F	GoMirrored
EA50	GripperResizeMirrored
EA51	HelpMirrored
EA52	ImportMirrored
EA53	ImportAllMirrored
EA54	LeaveChatMirrored
EA55	ListMirrored
EA56	MailForwardMirrored
EA57	MailReplyMirrored
EA58	MailReplyAllMirrored
EA5B	OpenPaneMirrored
EA5C	OpenWithMirrored
EA5E	ParkingLocationMirrored
EA5F	ResizeMouseMediumMirrored
EA60	ResizeMouseSmallMirrored
EA61	ResizeMouseTallMirrored
EA62	ResizeTouchNarrowerMirrored
EA63	SendMirrored
EA64	SendFillMirrored
EA65	ShowResultsMirrored
EA69	Media
EA6A	SyncError
EA6C	Devices3
EA80	Lightbulb
EA81	StatusCircle
EA82	StatusTriangle
EA83	StatusError
EA84	StatusWarning
EA86	Puzzle
EA89	CalendarSolid
EA8A	HomeSolid
EA8B	ParkingLocationSolid
EA8C	ContactSolid
EA8D	ConstructionSolid
EA8E	AccidentSolid
EA8F	Ringer
EA91	ThoughtBubble
EA92	HeartBroken
EA93	BatteryCharging10
EA94	BatterySaver9
EA95	BatterySaver10
EA97	CallForwardingMirrored
EA98	MultiSelectMirrored
EA99	Broom
EADF	Trackers
EB05	PieSingle
EB0F	StockDown
EB11	StockUp
EB42	Drop
EB47	BusSolid
EB48	FerrySolid
EB49	StartPointSolid
EB4A	StopPointSolid
EB4B	EndPointSolid
EB4C	AirplaneSolid
EB4D	TrainSolid
EB4E	WorkSolid
EB4F	ReminderFill
EB50	Reminder
EB51	Heart
EB52	HeartFill
EB55	EthernetError
EB56	EthernetWarning
EB57	StatusConnecting1
EB58	StatusConnecting2
EB59	StatusUnsecure
EB5A	WifiError0
EB5B	WifiError1
EB5C	WifiError2
EB5D	WifiError3
EB5E	WifiError4
EB5F	WifiWarning0
EB60	WifiWarning1
EB61	WifiWarning2
EB62	WifiWarning3
EB63	WifiWarning4
EB66	Devices4
EB67	NUIIris
EB68	NUIFace
EB7E	EditMirrored
EB82	NUIFPStartSlideHand
EB83	NUIFPStartSlideAction
EB84	NUIFPContinueSlideHand
EB85	NUIFPContinueSlideAction
EB86	NUIFPRollRightHand
EB87	NUIFPRollRightHandAction
EB88	NUIFPRollLeftHand
EB89	NUIFPRollLeftAction
EB8A	NUIFPPressHand
EB8B	NUIFPPressAction
EB8C	NUIFPPressRepeatHand
EB8D	NUIFPPressRepeatAction
EB90	StatusErrorFull
EB91	MultitaskExpanded
EB95	Certificate
EB96	BackSpaceQWERTYLg
EB97	ReturnKeyLg
EB9D	FastForward
EB9E	Rewind
EB9F	Photo2
EBA0	 MobBattery0
EBA1	 MobBattery1
EBA2	 MobBattery2
EBA3	 MobBattery3
EBA4	 MobBattery4
EBA5	 MobBattery5
EBA6	 MobBattery6
EBA7	 MobBattery7
EBA8	 MobBattery8
EBA9	 MobBattery9
EBAA	MobBattery10
EBAB	 MobBatteryCharging0
EBAC	 MobBatteryCharging1
EBAD	 MobBatteryCharging2
EBAE	 MobBatteryCharging3
EBAF	 MobBatteryCharging4
EBB0	 MobBatteryCharging5
EBB1	 MobBatteryCharging6
EBB2	 MobBatteryCharging7
EBB3	 MobBatteryCharging8
EBB4	 MobBatteryCharging9
EBB5	 MobBatteryCharging10
EBB6	 MobBatterySaver0
EBB7	 MobBatterySaver1
EBB8	 MobBatterySaver2
EBB9	 MobBatterySaver3
EBBA	 MobBatterySaver4
EBBB	 MobBatterySaver5
EBBC	 MobBatterySaver6
EBBD	 MobBatterySaver7
EBBE	 MobBatterySaver8
EBBF	 MobBatterySaver9
EBC0	 MobBatterySaver10
EBC3	DictionaryCloud
EBC4	ResetDrive
EBC5	VolumeBars
EBC6	Project
EBD2	AdjustHologram
EBD4	WifiCallBars
EBD5	WifiCall0
EBD6	WifiCall1
EBD7	WifiCall2
EBD8	WifiCall3
EBD9	WifiCall4
EBDE	DeviceDiscovery
EBE6	WindDirection
EBE7	RightArrowKeyTime0
EBFC	TabletMode
EBFD	StatusCircleLeft
EBFE	StatusTriangleLeft
EBFF	StatusErrorLeft
EC00	StatusWarningLeft
EC02	MobBatteryUnknown
EC05	NetworkTower
EC06	CityNext
EC07	CityNext2
EC08	Courthouse
EC09	Groceries
EC0A	Sustainable
EC0B	BuildingEnergy
EC11	ToggleFilled
EC12	ToggleBorder
EC13	SliderThumb
EC14	ToggleThumb
EC15	MiracastLogoSmall
EC16	MiracastLogoLarge
EC19	PLAP
EC1B	Badge
EC1E	SignalRoaming
EC20	MobileLocked
EC24	InsiderHubApp
EC25	PersonalFolder
EC26	HomeGroup
EC27	MyNetwork
EC31	KeyboardFull
EC37	MobSignal1
EC38	MobSignal2
EC39	MobSignal3
EC3A	MobSignal4
EC3B	MobSignal5
EC3C	MobWifi1
EC3D	MobWifi2
EC3E	MobWifi3
EC3F	MobWifi4
EC40	MobAirplane
EC41	MobBluetooth
EC42	MobActionCenter
EC43	MobLocation
EC44	MobWifiHotspot
EC45	LanguageJpn
EC46	MobQuietHours
EC47	MobDrivingMode
EC48	SpeedOff
EC49	SpeedMedium
EC4A	SpeedHigh
EC4E	ThisPC
EC4F	MusicNote
EC50	FileExplorer
EC51	FileExplorerApp
EC52	LeftArrowKeyTime0
EC54	MicOff
EC55	MicSleep
EC56	MicError
EC57	PlaybackRate1x
EC58	PlaybackRateOther
EC59	CashDrawer
EC5A	BarcodeScanner
EC5B	ReceiptPrinter
EC5C	MagStripeReader
EC61	CompletedSolid
EC64	CompanionApp
EC6D	SwipeRevealArt
EC71	MicOn
EC72	MicClipping
EC74	TabletSelected
EC75	MobileSelected
EC76	LaptopSelected
